Date (yyyymmdd), Cumulative number of Financial articles to date
20000101, 0
20000201, 0
20000301, 0
20000401, 0
20000501, 0
20000601, 0
20000701, 0
20000801, 0
20000901, 1
20001001, 1
20001101, 1
20001201, 1
20010101, 3
20010201, 3
20010301, 4
20010401, 6
20010501, 8
20010601, 13
20010701, 14
20010801, 16
20010901, 18
20011001, 19
20011101, 19
20011201, 20
20020101, 25
20020201, 26
20020301, 29
20020401, 31
20020501, 37
20020601, 40
20020701, 42
20020801, 45
20020901, 45
20021001, 48
20021101, 54
20021201, 55
20030101, 61
20030201, 66
20030301, 76
20030401, 83
20030501, 91
20030601, 92
20030701, 92
20030801, 98
20030901, 101
20031001, 106
20031101, 117
20031201, 126
20040101, 139
20040201, 147
20040301, 156
20040401, 165
20040501, 194
20040601, 218
20040701, 234
20040801, 249
20040901, 282
20041001, 293
20041101, 315
20041201, 332
20050101, 349
20050201, 370
20050301, 387
20050401, 395
20050501, 412
20050601, 433
20050701, 457
20050801, 485
20050901, 521
20051001, 562
20051101, 616
20051201, 672
20060101, 717
20060201, 776
20060301, 818
20060401, 880
20060501, 926
20060601, 935
20060701, 939
20060801, 949
20060901, 959
20061001, 965
20061101, 976
20061201, 984
20070101, 987
20070201, 998
20070301, 1007
20070401, 1019
20070501, 1030
20070601, 1046
20070701, 1071
20070801, 1077
20070901, 1083
20071001, 1098
20071101, 1108
20071201, 1113
20080101, 1125
20080201, 1139
20080301, 1154
20080401, 1172
20080501, 1186
20080601, 1197
20080701, 1212
20080801, 1229
20080901, 1236
20081001, 1252
20081101, 1264
20081201, 1277
20090101, 1278
20090201, 1283
20090301, 1295
20090401, 1309
20090501, 1318
20090601, 1329
20090701, 1333
20090801, 1336
20090901, 1346
20091001, 1349
20091101, 1355
20091201, 1362
20100101, 1373
20100201, 1382
20100301, 1390
20100401, 1400
20100501, 1407
20100601, 1414
20100701, 1424
20100801, 1430
20100901, 1443
20101001, 1451
20101101, 1471
20101201, 1486
20110101, 1511
20110201, 1530
20110301, 1545
20110401, 1559
20110501, 1572
20110601, 1589
20110701, 1606
20110801, 1623
20110901, 1649
20111001, 1665
20111101, 1686
20111201, 1705
20120101, 1719
20120201, 1737
20120301, 1756
20120401, 1777
20120501, 1803
20120601, 1836
20120701, 1849
20120801, 1885
20120901, 1905
20121001, 1910
20121101, 1910
20121201, 1910
20130101, 1910
20130201, 1910
20130301, 1911
20130401, 1925
20130501, 1941
20130601, 1947
20130701, 1947
20130801, 1947
20130901, 1947
20131001, 1947
20131101, 1947
20131201, 1947
20140101, 1947
20140201, 1947
20140301, 1947
20140401, 1947
20140501, 1947
20140601, 1947
20140701, 1947
20140801, 1947
20140901, 1947
20141001, 1947
20141101, 1947
20141201, 1947
20150101, 1947
20150201, 1947
20150301, 1947
20150401, 1947
20150501, 1947
20150601, 1947
20150701, 1947
20150801, 1947
20150901, 1947
20151001, 1947
20151101, 1947
20151201, 1947
20160101, 1947
20160201, 1947
20160301, 1947
20160401, 1947
20160501, 1947
20160601, 1947
20160701, 1947
20160801, 1947
20160901, 1947
20161001, 1947
20161101, 1947
20161201, 1947
20170101, 1947
20170201, 1947
20170301, 1947
20170401, 1947
